699330.80583, 3,  -0.043,  9.624, -2.608, 4,   0.012, -0.018,  0.024, 5,   8.151,-37.625, 38.031
699330.82570, 3,  -0.177,  9.626, -2.623, 4,   0.012, -0.018,  0.024, 5,   8.134,-38.332, 36.580
699330.84556, 3,  -0.187,  9.662, -2.639, 4,   0.012, -0.020,  0.028, 5,   8.870,-35.471, 39.481
699330.86543, 3,  -0.237,  9.610, -2.584, 4,   0.012, -0.016,  0.033, 5,   8.804,-38.319, 38.034
699330.88530, 3,  -0.134,  9.662, -2.546, 4,   0.012, -0.001,  0.040, 5,   7.484,-37.642, 38.029
699330.90516, 3,  -0.086,  9.607, -2.646, 4,   0.012,  0.001,  0.046, 5,   8.168,-36.911, 38.029
699330.92506, 3,  -0.086,  9.629, -2.682, 4,   0.016, -0.006,  0.052, 5,   7.469,-38.353, 38.031
699330.94493, 3,  -0.055,  9.650, -2.680, 4,   0.017, -0.001,  0.057, 5,   8.820,-37.608, 38.033
699330.96477, 3,   0.053,  9.581, -2.692, 4,   0.017,  0.002,  0.062, 5,   9.508,-36.884, 40.211
699330.98463, 3,   0.227,  9.576, -2.819, 4,   0.017, -0.000,  0.066, 5,   6.816,-37.657, 38.029
699331.00450, 3,   0.227,  9.605, -2.541, 4,   0.014,  0.006,  0.066, 5,   7.501,-36.928, 38.028
699331.02437, 3,   0.366,  9.600, -2.855, 4,   0.012,  0.012,  0.062, 5,   9.521,-36.166, 38.031
699331.04423, 3,   0.361,  9.569, -2.706, 4,   0.016,  0.008,  0.057, 5,   8.818,-37.605, 37.306
699331.06410, 3,   0.199,  9.662, -2.625, 4,   0.016,  0.016,  0.056, 5,   7.471,-38.354, 38.759
699331.08397, 3,   0.196,  9.598, -2.740, 4,   0.014,  0.013,  0.048, 5,   7.503,-36.931, 39.481
699331.10383, 3,   0.141,  9.610, -2.634, 4,   0.014,  0.006,  0.047, 5,   8.168,-36.911, 38.029
699331.12370, 3,   0.007,  9.653, -2.690, 4,   0.012,  0.010,  0.047, 5,   7.469,-38.353, 38.031
699331.14357, 3,   0.091,  9.598, -2.551, 4,   0.007, -0.009,  0.041, 5,   7.501,-36.928, 38.028
699331.16344, 3,   0.141,  9.581, -2.625, 4,   0.006, -0.026,  0.041, 5,   8.821,-37.611, 39.485
699331.18330, 3,   0.036,  9.653, -2.716, 4,   0.007, -0.033,  0.042, 5,   7.500,-36.925, 37.302
699331.20320, 3,  -0.215,  9.660, -2.512, 4,   0.011, -0.020,  0.044, 5,   7.484,-37.642, 38.029
699331.22307, 3,  -0.225,  9.653, -2.625, 4,   0.012,  0.007,  0.045, 5,   6.148,-37.671, 37.302
699331.24293, 3,  -0.191,  9.653, -2.713, 4,   0.012,  0.008,  0.053, 5,   8.836,-36.894, 38.031
699331.26280, 3,  -0.010,  9.607, -2.690, 4,   0.009, -0.004,  0.064, 5,   8.786,-39.029, 36.583
699331.28267, 3,   0.141,  9.583, -2.814, 4,   0.005,  0.001,  0.073, 5,   6.818,-37.659, 38.757
699331.30250, 3,   0.074,  9.569, -2.489, 4,   0.002,  0.008,  0.078, 5,   7.501,-36.928, 38.028
699331.32237, 3,   0.089,  9.710, -2.733, 4,   0.005,  0.018,  0.077, 5,   8.183,-36.195, 37.302
699331.34224, 3,   0.330,  9.612, -2.852, 4,   0.012,  0.018,  0.077, 5,   5.501,-36.980, 39.478
699331.36210, 3,   0.412,  9.516, -2.256, 4,   0.016,  0.012,  0.084, 5,   8.185,-36.198, 38.028
699331.38197, 3,   0.648,  9.399, -3.060, 4,   0.011,  0.028,  0.095, 5,   7.535,-35.504, 39.478
699331.40184, 3,   0.534,  9.521, -2.716, 4,   0.023,  0.001,  0.092, 5,   7.503,-36.931, 39.481
699331.42171, 3,   0.287,  9.734, -2.414, 4,   0.019, -0.013,  0.064, 5,   8.136,-38.336, 38.033
699331.44157, 3,   0.754,  9.559, -3.005, 4,   0.014,  0.006,  0.070, 5,   6.851,-36.232, 38.754
699331.46144, 3,   0.586,  9.576, -2.489, 4,   0.013,  0.004,  0.063, 5,   6.136,-38.387, 38.757
699331.48131, 3,   0.708,  9.605, -2.723, 4,   0.007,  0.007,  0.058, 5,   7.469,-38.353, 38.031
699331.50120, 3,   0.823,  9.578, -2.857, 4,   0.012, -0.004,  0.058, 5,   6.851,-36.232, 38.754
699331.52107, 3,   0.548,  9.598, -2.599, 4,   0.013, -0.020,  0.052, 5,   6.151,-37.675, 38.756
699331.54094, 3,   0.730,  9.555, -2.761, 4,   0.008, -0.011,  0.044, 5,   6.834,-36.946, 39.481
