703440.25935, 3,   0.426,  9.660, -2.532
703440.27922, 3,   0.445,  9.605, -2.390
703440.29909, 3,   0.529,  9.653, -2.410, 4,   0.001, -0.003,  0.006, 5,  22.516,-44.069, 17.010
703440.31896, 3,   0.531,  9.684, -2.529
703440.33882, 3,   0.390,  9.619, -2.536
703440.35872, 3,   0.316,  9.619, -2.553, 4,   0.003,  0.015,  0.017, 5,  22.426,-44.844, 18.948
703440.37856, 3,   0.136,  9.600, -2.737
703440.39842, 3,   0.333,  9.557, -2.319
703440.41829, 3,   0.491,  9.598, -2.532, 4,   0.004,  0.017,  0.038, 5,  23.923,-46.974, 17.798
703440.43816, 3,   0.670,  9.559, -2.654
703440.45802, 3,   0.768,  9.598, -2.515
703440.47789, 3,   0.711,  9.624, -2.639, 4,   0.015,  0.034,  0.043, 5,  22.388,-43.787, 18.462
703440.49776, 3,   0.562,  9.581, -2.599
703440.51762, 3,   0.385,  9.665, -2.252
703440.53749, 3,   0.749,  9.509, -2.687, 4,   0.014,  0.010,  0.052, 5,  20.670,-45.445, 18.463
703440.55736, 3,   0.960,  9.550, -2.785
703440.57723, 3,   0.768,  9.619, -2.426
703440.59706, 3,   1.074,  9.552, -2.553, 4,   0.008,  0.008,  0.043, 5,  21.300,-44.901, 16.676
703440.61693, 3,   1.251,  9.540, -2.757
703440.63680, 3,   1.096,  9.641, -2.709
703440.65669, 3,   0.950,  9.586, -2.821, 4,   0.011,  0.032,  0.025
703440.67656, 3,   1.108,  9.543, -2.524
703440.69643, 3,   0.818,  9.614, -2.807
703440.71629, 3,   0.821,  9.562, -2.663, 4,   0.006,  0.015,  0.014, 5,  21.948,-45.753, 17.014
703440.73616, 3,   0.835,  9.550, -2.438
703440.75603, 3,   0.701,  9.631, -2.764
703440.77586, 3,   0.457,  9.526, -2.713, 4,   0.008,  0.066,  0.010
703440.79573, 3,   0.036,  9.626, -2.460
703440.81560, 3,   0.605,  9.409, -3.587
703440.83547, 3,  -0.890,  9.835, -1.330, 4,   0.008,  0.028,  0.043, 5,  21.275,-44.344, 18.846
703440.85533, 3,  -0.732,  9.452, -2.690
703440.87520, 3,   0.105,  9.428, -3.649
703440.89507, 3,  -0.215,  9.461, -2.704, 4,   0.022, -0.045,  0.115, 5,  21.469,-43.675, 21.072
703440.91493, 3,   0.345,  9.327, -3.230
703440.93483, 3,   1.510,  9.272, -4.262
