711347.99672, 3,   1.074,  9.531, -2.881
711348.01658, 3,   1.113,  9.495, -2.855, 4,   0.007,  0.001,  0.026, 5,  17.456,-47.078, 12.643
711348.03642, 3,   1.084,  9.440, -2.845
711348.05629, 3,   1.024,  9.514, -2.599
711348.07615, 3,   0.687,  9.550, -2.749, 4,   0.006,  0.024,  0.017, 5,  16.623,-46.719, 10.420
711348.09602, 3,   0.531,  9.514, -2.766
711348.11589, 3,   0.555,  9.578, -2.556
711348.13576, 3,   0.651,  9.593, -2.486, 4,   0.013,  0.076,  0.024, 5,  18.828,-47.998, 12.672
711348.15562, 3,   0.816,  9.583, -2.687
711348.17546, 3,   1.055,  9.550, -2.747
711348.19533, 3,   0.976,  9.550, -2.701, 4,   0.021,  0.123,  0.039, 5,  17.746,-49.725, 12.216
711348.21522, 3,   0.876,  9.552, -2.658
711348.23509, 3,   1.747,  9.263, -2.673
711348.25496, 3,   1.216,  9.456, -2.807, 4,   0.021,  0.125,  0.048, 5,  17.708,-47.827, 11.929
711348.27482, 3,   0.656,  9.631, -2.852
711348.29469, 3,   1.187,  9.528, -2.668
711348.31453, 3,   1.326,  9.531, -2.745, 4,   0.015,  0.085,  0.039
711348.33439, 3,   1.359,  9.464, -3.053
711348.35426, 3,   1.531,  9.478, -3.065
711348.37413, 3,   1.689,  9.464, -2.859, 4,   0.018,  0.190,  0.026, 5,  16.550,-48.051, 12.131
711348.39400, 3,   1.735,  9.504, -2.984
711348.41386, 3,   1.682,  9.461, -3.058
711348.43370, 3,   1.553,  9.399, -2.989, 4,   0.021,  0.481, -0.010, 5,  16.559,-47.720, 12.651
711348.45357, 3,   1.429,  9.464, -2.740
711348.47343, 3,   1.251,  9.516, -2.737
711348.49333, 3,   0.847,  9.502, -2.673, 4,   0.024,  0.714, -0.035
711348.51320, 3,   0.239,  9.550, -2.285
711348.53306, 3,   0.258,  9.607, -2.481
711348.55293, 3,   0.299,  9.569, -2.656, 4,   0.027,  0.581, -0.016, 5,  14.693,-48.769, 13.422
711348.57277, 3,   0.421,  9.636, -2.606
711348.59263, 3,   0.301,  9.662, -2.419
711348.61250, 3,   0.378,  9.576, -2.457, 4,   0.013,  0.157,  0.051
711348.63237, 3,   0.517,  9.511, -2.637
711348.65224, 3,   1.220,  9.567, -2.106
711348.67210, 3,   1.864,  9.509, -2.589, 4,   0.016, -0.070,  0.109, 5,  15.437,-48.090, 13.625
711348.69194, 3,   2.283,  9.382, -3.594
711348.71181, 3,   1.706,  9.193, -2.529
711348.73167, 3,   0.620,  9.827, -2.237, 4,   0.009,  0.038,  0.105, 5,  16.161,-47.638, 13.377
711348.75154, 3,   0.991,  9.641, -3.056
711348.77141, 3,   1.979,  9.181, -2.646
711348.79131, 3,   2.414,  9.315, -2.984, 4,   0.018,  0.035,  0.111, 5,  15.234,-47.374, 14.102
711348.81117, 3,   2.788,  9.452, -3.393
711348.83101, 3,   2.388,  9.294, -2.943
711348.85088, 3,   2.400,  9.368, -2.510, 4,   0.011,  0.107,  0.074, 5,  14.636,-48.007, 13.470
711348.87074, 3,   2.685,  9.466, -2.979
711348.89061, 3,   2.780,  9.217, -3.319
711348.91048, 3,   2.618,  9.535, -3.266, 4,   0.013,  0.186,  0.012, 5,  14.697,-47.670, 14.540
711348.93034, 3,   1.699,  8.894, -1.740
711348.95021, 3,  -0.837,  9.533, -2.448
711348.97005, 3,   1.235,  9.787, -4.039, 4,   0.000,  0.243, -0.020
711348.98991, 3,   1.199,  9.033, -2.407
711349.00978, 3,   1.254,  9.349, -2.410
711349.02965, 3,   0.711,  9.564, -2.161, 4,  -0.014, -0.005,  0.038, 5,  14.125,-47.403, 14.825
